coluna,status,motivo
CO_MUNICIPIO_ESC,usada,Disponível nos três anos e sem regra de vazamento.
CO_MUNICIPIO_PROVA,usada,Disponível nos três anos e sem regra de vazamento.
CO_UF_ESC,usada,Disponível nos três anos e sem regra de vazamento.
CO_UF_PROVA,removida,"Contexto, filtro, target, split temporal ou coluna constante no recorte."
IN_TREINEIRO,removida,"Não disponível de forma consistente em 2022, 2023 e 2024."
NO_MUNICIPIO_ESC,usada,Disponível nos três anos e sem regra de vazamento.
NO_MUNICIPIO_PROVA,usada,Disponível nos três anos e sem regra de vazamento.
NU_ANO,removida,"Contexto, filtro, target, split temporal ou coluna constante no recorte."
NU_NOTA_MT,removida,"Vazamento: nota, resposta, gabarito, prova ou resultado posterior."
Q001,removida,"Não disponível de forma consistente em 2022, 2023 e 2024."
Q002,removida,"Não disponível de forma consistente em 2022, 2023 e 2024."
Q003,removida,"Não disponível de forma consistente em 2022, 2023 e 2024."
Q004,removida,"Não disponível de forma consistente em 2022, 2023 e 2024."
Q005,removida,"Não disponível de forma consistente em 2022, 2023 e 2024."
Q006,removida,"Não disponível de forma consistente em 2022, 2023 e 2024."
Q007,removida,"Não disponível de forma consistente em 2022, 2023 e 2024."
Q008,removida,"Não disponível de forma consistente em 2022, 2023 e 2024."
Q009,removida,"Não disponível de forma consistente em 2022, 2023 e 2024."
Q010,removida,"Não disponível de forma consistente em 2022, 2023 e 2024."
Q011,removida,"Não disponível de forma consistente em 2022, 2023 e 2024."
Q012,removida,"Não disponível de forma consistente em 2022, 2023 e 2024."
Q013,removida,"Não disponível de forma consistente em 2022, 2023 e 2024."
Q014,removida,"Não disponível de forma consistente em 2022, 2023 e 2024."
Q015,removida,"Não disponível de forma consistente em 2022, 2023 e 2024."
Q016,removida,"Não disponível de forma consistente em 2022, 2023 e 2024."
Q017,removida,"Não disponível de forma consistente em 2022, 2023 e 2024."
Q018,removida,"Não disponível de forma consistente em 2022, 2023 e 2024."
Q019,removida,"Não disponível de forma consistente em 2022, 2023 e 2024."
Q020,removida,"Não disponível de forma consistente em 2022, 2023 e 2024."
Q021,removida,"Não disponível de forma consistente em 2022, 2023 e 2024."
Q022,removida,"Não disponível de forma consistente em 2022, 2023 e 2024."
Q023,removida,"Não disponível de forma consistente em 2022, 2023 e 2024."
Q024,removida,"Não disponível de forma consistente em 2022, 2023 e 2024."
Q025,removida,"Não disponível de forma consistente em 2022, 2023 e 2024."
SG_UF_ESC,usada,Disponível nos três anos e sem regra de vazamento.
SG_UF_PROVA,removida,"Contexto, filtro, target, split temporal ou coluna constante no recorte."
TP_ANO_CONCLUIU,removida,"Não disponível de forma consistente em 2022, 2023 e 2024."
TP_COR_RACA,removida,"Não disponível de forma consistente em 2022, 2023 e 2024."
TP_DEPENDENCIA_ADM_ESC,usada,Disponível nos três anos e sem regra de vazamento.
TP_ENSINO,removida,"Não disponível de forma consistente em 2022, 2023 e 2024."
TP_ESCOLA,removida,"Não disponível de forma consistente em 2022, 2023 e 2024."
TP_ESTADO_CIVIL,removida,"Não disponível de forma consistente em 2022, 2023 e 2024."
TP_FAIXA_ETARIA,removida,"Não disponível de forma consistente em 2022, 2023 e 2024."
TP_LOCALIZACAO_ESC,usada,Disponível nos três anos e sem regra de vazamento.
TP_NACIONALIDADE,removida,"Não disponível de forma consistente em 2022, 2023 e 2024."
TP_PRESENCA_MT,removida,"Contexto, filtro, target, split temporal ou coluna constante no recorte."
TP_SEXO,removida,"Não disponível de forma consistente em 2022, 2023 e 2024."
TP_SIT_FUNC_ESC,usada,Disponível nos três anos e sem regra de vazamento.
TP_ST_CONCLUSAO,removida,"Não disponível de forma consistente em 2022, 2023 e 2024."
target_desempenho_alto_mt,removida,"Contexto, filtro, target, split temporal ou coluna constante no recorte."
