categoria,pergunta,resposta
Definição do problema,Qual é a descrição do problema?,Classificar participantes do ENEM/RJ com alto desempenho em Matemática.
Definição do problema,Qual é o objetivo do modelo?,Testar capacidade preditiva socioeducacional em 2022-2023 e robustez temporal em 2024.
Definição do problema,Tipo de problema,Classificação binária supervisionada.
Definição do problema,Hipóteses,"H1, H2 e H3 foram definidas e testadas por baseline, métricas e avaliação temporal."
Dados,Dataset e fonte,"Microdados oficiais do ENEM 2022, 2023 e 2024, publicados pelo INEP."
Dados,Como os dados foram carregados?,ZIPs locais ou download automático por URLs públicas oficiais do INEP.
Dados,Registros,"Resultados elegíveis: 557,163; perfis RJ: 822,583."
Preparação,Valores ausentes,Tratados por imputação dentro do Pipeline; auditoria salva em data_quality_schema_missing.csv.
Preparação,Vazamento,"Notas, respostas, gabaritos, provas, presença, target e identificadores foram removidos das features."
Divisão,Como os dados foram separados?,Modelo A usa split estratificado 2022-2023; Modelo B treina em 2022-2023 e testa em 2024.
Modelagem,Baseline,"DummyClassifier nos dois experimentos, incluindo baseline temporal em 2024."
Modelagem,Modelos treinados,"LogisticRegression, RandomForestClassifier e RandomForestClassifier otimizado em cada experimento."
Otimização,Hiperparâmetros,"n_estimators, max_depth e min_samples_leaf da Random Forest via GridSearchCV no treino."
Avaliação,Métricas,"Accuracy, precision, recall, F1-score, ROC-AUC e matriz de confusão; F1 é principal."
Avaliação,Modelo temporal supera baseline?,True; F1 melhor temporal 0.404 vs baseline 0.000.
Limitações,Falácia ecológica,Agregados municipais são contexto e não representam indivíduos.
Conclusão,O MVP cumpriu o objetivo?,"Sim: entrega dois experimentos complementares, métricas reais, auditorias e discussão crítica."
Conclusão,Próximos passos,"Publicar Colab, validar outros estados/anos, aprofundar vieses e estudar estabilidade temporal adicional."
